Customer_ID,Age,Annual_Income,Credit_Limit,Balance,Purchases,Payment_Ratio,Late_Payments,Utilization,Risk_Level
1,59,1406155,359962,253061,494160,0.39,3,0.7,Medium Risk
2,49,849053,850533,723591,275109,0.96,4,0.85,Medium Risk
3,35,1382001,267431,269680,100334,0.67,1,1.01,High Risk
4,63,474143,761708,361073,90025,0.6,2,0.47,Low Risk
5,28,1835998,268226,248143,652110,0.42,3,0.93,High Risk
6,41,940609,985177,782311,186277,0.48,2,0.79,Medium Risk
7,59,1453477,66865,8511,221548,0.92,0,0.13,Low Risk
8,39,270086,432061,385563,35381,0.83,0,0.89,Medium Risk
9,43,245248,324072,155138,32725,0.33,6,0.48,High Risk
10,31,687170,468196,153927,89299,0.69,0,0.33,Low Risk
11,31,1104083,506636,586269,100669,0.62,7,1.16,High Risk
12,44,458945,348613,329964,73442,0.84,8,0.95,High Risk
13,56,524393,891338,113147,174450,0.65,9,0.13,High Risk
14,60,921194,714268,668426,322751,0.34,1,0.94,High Risk
15,44,1416532,903825,935814,97731,0.59,4,1.04,High Risk
16,23,1780511,167498,82398,431485,0.96,9,0.49,High Risk
17,42,1316655,776149,356327,448321,0.84,2,0.46,Low Risk
18,22,941139,573515,324637,138263,0.97,6,0.57,High Risk
19,44,1449962,941392,576930,219828,0.56,8,0.61,High Risk
20,64,1852958,468075,242765,493052,0.35,5,0.52,Low Risk
21,50,1302122,891638,585630,310533,0.76,1,0.66,Medium Risk
22,58,1170208,689099,806125,321207,0.78,6,1.17,High Risk
23,22,1016465,270356,36575,136534,0.95,0,0.14,Low Risk
24,41,1243515,430305,508109,90768,0.9,3,1.18,High Risk
25,53,1494623,878947,909160,168061,0.84,4,1.03,High Risk
26,32,547769,419995,410366,48666,0.94,4,0.98,High Risk
27,42,1085252,897316,534192,57706,0.68,2,0.6,Medium Risk
28,64,1509569,400042,73040,281971,0.88,7,0.18,High Risk
29,45,1709529,773257,603680,288396,0.41,6,0.78,High Risk
30,69,1803864,322305,349274,687740,0.48,2,1.08,High Risk
31,47,796401,522744,296683,156182,0.94,7,0.57,High Risk
32,62,867989,845233,148959,319067,0.37,8,0.18,High Risk
33,48,1703317,522721,55380,507664,0.61,2,0.11,Low Risk
34,36,1648714,999921,231324,622062,0.77,9,0.23,High Risk
35,35,1187326,371601,284846,181987,0.77,3,0.77,Medium Risk
36,67,1375532,521284,620325,466314,0.56,5,1.19,High Risk
37,64,1474947,702237,620299,229363,0.91,2,0.88,Medium Risk
38,23,400544,208054,56770,46937,0.8,5,0.27,Low Risk
39,57,1208785,637072,668246,238254,0.54,4,1.05,High Risk
40,27,1872158,443341,366328,168159,0.45,1,0.83,Medium Risk
41,41,1047481,75307,32511,406639,0.96,8,0.43,High Risk
42,29,1344731,827576,539447,292820,0.5,3,0.65,Medium Risk
43,59,994153,216170,117446,96491,0.78,8,0.54,High Risk
44,38,578683,619373,655503,42944,0.46,0,1.06,High Risk
45,24,1158461,51621,59294,462856,0.81,6,1.15,High Risk
46,45,563157,238747,56357,152370,0.75,5,0.24,Low Risk
47,34,1694951,192079,50359,329339,0.39,1,0.26,Low Risk
48,29,710525,292048,55694,83206,0.37,9,0.19,High Risk
49,46,1884734,768048,397875,314758,0.72,3,0.52,Low Risk
50,22,267714,505976,591062,97788,0.39,6,1.17,High Risk
51,40,1216646,569407,675339,283010,0.61,7,1.19,High Risk
52,48,819454,390984,295404,122248,0.66,9,0.76,High Risk
